Sl. No.,State/UT,Number of Flood Forecasting Stations - Level,Number of Flood Forecasting Stations - Inflow,Number of Flood Forecasting Stations - Total
1,Andhra Pradesh,10,10,20
2,Arunachal Pradesh,3,0,3
3,Assam,30,0,30
4,Bihar,40,3,43
5,Chhattisgarh,1,2,3
6,Gujarat,6,7,13
7,Haryana,1,1,2
8,Himachal Pradesh,1,0,1
9,Jammu and Kashmir,3,0,3
10,Jharkhand,2,15,17
11,Karnataka,1,14,15
12,Kerala,3,2,5
13,Madhya Pradesh,2,12,14
14,Maharashtra,8,14,22
15,Odisha,12,7,19
16,Rajasthan,4,11,15
17,Sikkim,3,5,8
18,Tamil Nadu,4,11,15
19,Telangana,5,9,14
20,Tripura,2,0,2
21,Uttar Pradesh,39,5,44
22,Uttarakhand,4,2,6
23,West Bengal,12,4,16
24,Daman and Diu,1,0,1
25,NCT of Delhi,2,0,2
Total,Total,199,134,333
