Year,12-hr,24-hr,36-hr,48-hr,60-hr,72-hr,84-hr,96-hr,108-hr,120-hr
2016,59.7,96.1,129.6,185.1,238,291.7,330.4,379.5,344.1,438.3
2017,43.7,61.4,87.2,107.6,190.1,189.6,292.5,304.2,158.7,159.7
2018,55.4,87.5,99.2,124.2,131.2,134.3,165.8,189,220.8,247.6
2019,41,68.6,87.8,103.7,120.4,148.6,177.7,217.8,261.3,337.5
2020,50.3,72.5,76.4,85.3,89.1,111.4,105.5,88.8,86.3,93.3
2021,43.7,62.9,82.6,91.4,105.7,164,248,15.3,NA,NA
2022,42.3,77.5,108,167.1,204.2,315.3,378.2,535.3,576.5,NA
2023,48.3,76.5,98.4,120.7,138.8,147.2,157.3,176.8,181.5,224.8
2024,37.6,65.6,76.9,83.5,100.3,114,70,153,NA,NA
2025,42,80,102,120,169,204,245,129,NA,NA
